2020/02/26 14:07:26 Files already downloaded and verified
2020/02/26 14:07:27 => created new encoder model...
2020/02/26 14:20:54 step 43: train=0.115989 test=0.113749 entropy=4.112277 used=64
2020/02/26 14:21:11 step 44: train=0.109903 test=0.111117 entropy=4.126926 used=64
2020/02/26 14:21:29 step 45: train=0.109457 test=0.103264 entropy=4.107623 used=64
2020/02/26 14:21:46 step 46: train=0.105170 test=0.107056 entropy=4.107347 used=64
2020/02/26 14:22:03 step 47: train=0.101352 test=0.092588 entropy=4.114069 used=64
2020/02/26 14:22:21 step 48: train=0.077592 test=0.068708 entropy=4.094932 used=64
2020/02/26 14:22:38 step 49: train=0.099121 test=0.080573 entropy=4.100188 used=64
2020/02/26 14:22:56 step 50: train=0.081548 test=0.064555 entropy=4.099787 used=64
2020/02/26 14:23:20 step 51: train=0.065684 test=0.078856 entropy=4.111839 used=64
2020/02/26 14:23:37 step 52: train=0.069557 test=0.079588 entropy=4.092359 used=64
2020/02/26 14:23:54 step 53: train=0.073666 test=0.073184 entropy=4.103020 used=64
2020/02/26 14:24:12 step 54: train=0.080246 test=0.077693 entropy=4.104106 used=64
2020/02/26 14:24:29 step 55: train=0.081714 test=0.079345 entropy=4.103742 used=64
2020/02/26 14:24:47 step 56: train=0.072861 test=0.087211 entropy=4.108658 used=64
2020/02/26 14:25:04 step 57: train=0.071415 test=0.084475 entropy=4.109633 used=64
2020/02/26 14:25:21 step 58: train=0.077796 test=0.073951 entropy=4.104378 used=64
2020/02/26 14:25:39 step 59: train=0.088505 test=0.074805 entropy=4.105722 used=64
2020/02/26 14:25:56 step 60: train=0.093592 test=0.068395 entropy=4.111211 used=64
2020/02/26 14:26:20 step 61: train=0.078005 test=0.083362 entropy=4.107807 used=64
2020/02/26 14:26:37 step 62: train=0.079987 test=0.066733 entropy=4.105404 used=64
2020/02/26 14:26:55 step 63: train=0.067022 test=0.067918 entropy=4.103624 used=64
2020/02/26 14:27:12 step 64: train=0.052602 test=0.070020 entropy=4.106572 used=64
2020/02/26 14:27:30 step 65: train=0.059217 test=0.064925 entropy=4.099811 used=64
2020/02/26 14:27:47 step 66: train=0.056160 test=0.066442 entropy=4.105952 used=64
2020/02/26 14:28:04 step 67: train=0.065776 test=0.066726 entropy=4.100067 used=64
2020/02/26 14:28:22 step 68: train=0.068938 test=0.056403 entropy=4.098917 used=64
2020/02/26 14:28:39 step 69: train=0.054050 test=0.064372 entropy=4.099656 used=64
2020/02/26 14:28:56 step 70: train=0.060940 test=0.070442 entropy=4.112005 used=64
2020/02/26 14:29:20 step 71: train=0.058045 test=0.063883 entropy=4.096546 used=64
2020/02/26 14:29:38 step 72: train=0.056068 test=0.059412 entropy=4.096710 used=64
2020/02/26 14:29:55 step 73: train=0.061453 test=0.056912 entropy=4.104132 used=64
2020/02/26 14:30:12 step 74: train=0.061290 test=0.062432 entropy=4.103317 used=64
2020/02/26 14:30:30 step 75: train=0.065977 test=0.063607 entropy=4.099521 used=64
2020/02/26 14:30:47 step 76: train=0.056414 test=0.063507 entropy=4.104488 used=64
2020/02/26 14:31:04 step 77: train=0.061149 test=0.063478 entropy=4.107101 used=64
2020/02/26 14:31:22 step 78: train=0.057281 test=0.059328 entropy=4.103428 used=64
2020/02/26 14:31:39 step 79: train=0.064241 test=0.060030 entropy=4.103897 used=64
2020/02/26 14:31:57 step 80: train=0.048411 test=0.048852 entropy=4.093038 used=64
2020/02/26 14:32:21 step 81: train=0.052476 test=0.052424 entropy=4.089711 used=64
2020/02/26 14:32:38 step 82: train=0.045881 test=0.055605 entropy=4.085739 used=64
2020/02/26 14:32:56 step 83: train=0.053809 test=0.057121 entropy=4.094735 used=64
2020/02/26 14:33:13 step 84: train=0.057433 test=0.054131 entropy=4.096851 used=64
2020/02/26 14:33:30 step 85: train=0.062744 test=0.053290 entropy=4.099874 used=64
2020/02/26 14:33:48 step 86: train=0.051022 test=0.045961 entropy=4.085553 used=64
2020/02/26 14:34:05 step 87: train=0.054802 test=0.051871 entropy=4.095698 used=64
2020/02/26 14:34:22 step 88: train=0.059756 test=0.060263 entropy=4.101997 used=64
2020/02/26 14:34:39 step 89: train=0.057038 test=0.049807 entropy=4.094677 used=64
2020/02/26 14:34:57 step 90: train=0.051757 test=0.054548 entropy=4.083014 used=64
2020/02/26 14:35:23 step 91: train=0.052952 test=0.053838 entropy=4.097760 used=64
2020/02/26 14:35:40 step 92: train=0.058335 test=0.053348 entropy=4.100255 used=64
2020/02/26 14:35:57 step 93: train=0.054247 test=0.059107 entropy=4.090327 used=64
2020/02/26 14:36:15 step 94: train=0.052039 test=0.051628 entropy=4.097415 used=64
2020/02/26 14:36:32 step 95: train=0.050545 test=0.057697 entropy=4.084558 used=64
2020/02/26 14:36:50 step 96: train=0.047971 test=0.044226 entropy=4.082539 used=64
2020/02/26 14:37:07 step 97: train=0.039564 test=0.047902 entropy=4.080164 used=64
2020/02/26 14:37:25 step 98: train=0.045543 test=0.042896 entropy=4.089017 used=64
2020/02/26 14:37:42 step 99: train=0.050861 test=0.048887 entropy=4.083982 used=64
2020/02/26 14:38:00 step 100: train=0.056808 test=0.052580 entropy=4.082266 used=64
2020/02/26 14:38:24 step 101: train=0.053962 test=0.058265 entropy=4.078615 used=64
2020/02/26 14:38:41 step 102: train=0.048472 test=0.051348 entropy=4.070540 used=64
2020/02/26 14:38:59 step 103: train=0.049891 test=0.042887 entropy=4.094264 used=64
2020/02/26 14:39:16 step 104: train=0.049350 test=0.046354 entropy=4.088402 used=64
2020/02/26 14:39:33 step 105: train=0.053710 test=0.057518 entropy=4.084228 used=64
2020/02/26 14:39:51 step 106: train=0.045890 test=0.049269 entropy=4.068773 used=64
2020/02/26 14:40:08 step 107: train=0.049454 test=0.046727 entropy=4.084466 used=64
2020/02/26 14:40:25 step 108: train=0.063029 test=0.053438 entropy=4.089056 used=64
2020/02/26 14:40:43 step 109: train=0.058461 test=0.049598 entropy=4.070415 used=64
2020/02/26 14:41:00 step 110: train=0.053053 test=0.055710 entropy=4.079028 used=64
2020/02/26 14:41:24 step 111: train=0.041438 test=0.049403 entropy=4.082812 used=64
2020/02/26 14:41:42 step 112: train=0.045875 test=0.052334 entropy=4.079005 used=64
2020/02/26 14:41:59 step 113: train=0.052601 test=0.051576 entropy=4.072720 used=64
2020/02/26 14:42:17 step 114: train=0.049407 test=0.049268 entropy=4.072008 used=64
2020/02/26 14:42:34 step 115: train=0.045803 test=0.045713 entropy=4.065330 used=64
2020/02/26 14:42:51 step 116: train=0.051022 test=0.057213 entropy=4.063295 used=64
2020/02/26 14:43:09 step 117: train=0.042719 test=0.054692 entropy=4.077829 used=64
2020/02/26 14:43:26 step 118: train=0.050100 test=0.042333 entropy=4.073534 used=64
2020/02/26 14:43:44 step 119: train=0.046122 test=0.053135 entropy=4.079817 used=64
2020/02/26 14:44:01 step 120: train=0.042979 test=0.037913 entropy=4.075651 used=64
2020/02/26 14:44:25 step 121: train=0.040199 test=0.048266 entropy=4.065106 used=64
2020/02/26 14:44:43 step 122: train=0.044709 test=0.049192 entropy=4.079214 used=64
2020/02/26 14:45:00 step 123: train=0.047812 test=0.043066 entropy=4.069691 used=64
2020/02/26 14:45:17 step 124: train=0.046732 test=0.048724 entropy=4.078482 used=64
2020/02/26 14:45:35 step 125: train=0.048202 test=0.052768 entropy=4.065220 used=64
2020/02/26 14:45:52 step 126: train=0.049639 test=0.054292 entropy=4.087507 used=64
2020/02/26 14:46:10 step 127: train=0.042838 test=0.047780 entropy=4.070618 used=64
2020/02/26 14:46:27 step 128: train=0.052203 test=0.046263 entropy=4.071601 used=64
2020/02/26 14:46:44 step 129: train=0.050768 test=0.046564 entropy=4.038647 used=64
2020/02/26 14:47:02 step 130: train=0.049625 test=0.051181 entropy=4.058376 used=64
2020/02/26 14:47:26 step 131: train=0.044594 test=0.050325 entropy=4.057551 used=64
2020/02/26 14:47:43 step 132: train=0.046959 test=0.047289 entropy=4.061414 used=64
2020/02/26 14:48:01 step 133: train=0.051918 test=0.048835 entropy=4.060968 used=64
2020/02/26 14:48:18 step 134: train=0.050905 test=0.043015 entropy=4.056539 used=64
2020/02/26 14:48:35 step 135: train=0.046498 test=0.047011 entropy=4.058904 used=64
2020/02/26 14:48:53 step 136: train=0.041566 test=0.047657 entropy=4.052545 used=64
2020/02/26 14:49:10 step 137: train=0.046741 test=0.042025 entropy=4.049844 used=64
2020/02/26 14:49:27 step 138: train=0.047037 test=0.045061 entropy=4.056299 used=64
2020/02/26 14:49:45 step 139: train=0.045724 test=0.042731 entropy=4.055021 used=64
2020/02/26 14:50:02 step 140: train=0.045332 test=0.050485 entropy=4.060543 used=64
2020/02/26 14:50:28 step 141: train=0.047037 test=0.047962 entropy=4.052729 used=64
2020/02/26 14:50:45 step 142: train=0.046681 test=0.044792 entropy=4.057419 used=64
2020/02/26 14:51:03 step 143: train=0.051995 test=0.046418 entropy=4.065495 used=64
2020/02/26 14:51:20 step 144: train=0.046581 test=0.043403 entropy=4.065613 used=64
2020/02/26 14:51:38 step 145: train=0.049225 test=0.055547 entropy=4.074044 used=64
2020/02/26 14:51:55 step 146: train=0.043359 test=0.044680 entropy=4.069930 used=64
2020/02/26 14:52:12 step 147: train=0.051328 test=0.049222 entropy=4.065710 used=64
2020/02/26 14:52:30 step 148: train=0.051081 test=0.052088 entropy=4.060171 used=64
2020/02/26 14:52:47 step 149: train=0.042949 test=0.054272 entropy=4.062013 used=64
2020/02/26 14:53:04 step 150: train=0.047973 test=0.053400 entropy=4.075468 used=64
2020/02/26 14:53:29 step 151: train=0.048347 test=0.044747 entropy=4.057037 used=64
2020/02/26 14:53:46 step 152: train=0.050497 test=0.054067 entropy=4.069778 used=64
2020/02/26 14:54:03 step 153: train=0.053879 test=0.049741 entropy=4.055490 used=64
2020/02/26 14:54:21 step 154: train=0.050123 test=0.047835 entropy=4.072463 used=64
2020/02/26 14:54:38 step 155: train=0.050563 test=0.047701 entropy=4.061619 used=64
2020/02/26 14:54:56 step 156: train=0.049576 test=0.050566 entropy=4.065788 used=64
2020/02/26 14:55:13 step 157: train=0.051444 test=0.044420 entropy=4.066167 used=64
2020/02/26 14:55:30 step 158: train=0.049231 test=0.045716 entropy=4.061057 used=64
2020/02/26 14:55:48 step 159: train=0.048170 test=0.057184 entropy=4.074109 used=64
2020/02/26 14:56:05 step 160: train=0.052059 test=0.044357 entropy=4.061666 used=64
2020/02/26 14:56:29 step 161: train=0.048921 test=0.042201 entropy=4.041624 used=64
2020/02/26 14:56:47 step 162: train=0.042723 test=0.048343 entropy=4.053453 used=64
2020/02/26 14:57:04 step 163: train=0.054885 test=0.050412 entropy=4.063541 used=64
2020/02/26 14:57:21 step 164: train=0.046659 test=0.049491 entropy=4.066091 used=64
2020/02/26 14:57:39 step 165: train=0.053431 test=0.043473 entropy=4.060131 used=64
2020/02/26 14:57:56 step 166: train=0.045330 test=0.049716 entropy=4.058319 used=64
2020/02/26 14:58:13 step 167: train=0.046795 test=0.050502 entropy=4.047985 used=64
2020/02/26 14:58:31 step 168: train=0.048765 test=0.050063 entropy=4.068556 used=64
2020/02/26 14:58:48 step 169: train=0.052801 test=0.049515 entropy=4.066145 used=64
2020/02/26 14:59:05 step 170: train=0.046202 test=0.041397 entropy=4.058325 used=64
2020/02/26 14:59:30 step 171: train=0.046220 test=0.052425 entropy=4.060552 used=64
2020/02/26 14:59:47 step 172: train=0.044169 test=0.045007 entropy=4.050478 used=64
2020/02/26 15:00:05 step 173: train=0.049513 test=0.045892 entropy=4.054689 used=64
2020/02/26 15:00:22 step 174: train=0.049921 test=0.046937 entropy=4.059037 used=64
2020/02/26 15:00:39 step 175: train=0.044065 test=0.053679 entropy=4.062389 used=64
2020/02/26 15:00:57 step 176: train=0.045648 test=0.049993 entropy=4.050777 used=64
2020/02/26 15:01:14 step 177: train=0.049844 test=0.049680 entropy=4.047705 used=64
2020/02/26 15:01:32 step 178: train=0.049904 test=0.043448 entropy=4.053090 used=64
2020/02/26 15:01:49 step 179: train=0.045215 test=0.048161 entropy=4.045804 used=64
2020/02/26 15:02:06 step 180: train=0.045522 test=0.042290 entropy=4.062079 used=64
2020/02/26 15:02:32 step 181: train=0.046608 test=0.052936 entropy=4.047823 used=64
2020/02/26 15:02:50 step 182: train=0.043929 test=0.046899 entropy=4.060732 used=64
2020/02/26 15:03:07 step 183: train=0.045680 test=0.044445 entropy=4.041645 used=64
2020/02/26 15:03:24 step 184: train=0.043628 test=0.051307 entropy=4.044908 used=64
2020/02/26 15:03:42 step 185: train=0.049269 test=0.046266 entropy=4.052824 used=64
2020/02/26 15:03:59 step 186: train=0.050312 test=0.044474 entropy=4.053344 used=64
2020/02/26 15:04:16 step 187: train=0.046616 test=0.052444 entropy=4.055227 used=64
2020/02/26 15:04:34 step 188: train=0.041991 test=0.051966 entropy=4.042441 used=64
2020/02/26 15:04:51 step 189: train=0.043100 test=0.050418 entropy=4.052803 used=64
2020/02/26 15:05:08 step 190: train=0.048184 test=0.044819 entropy=4.054199 used=64
2020/02/26 15:05:35 step 191: train=0.048488 test=0.050950 entropy=4.052482 used=64
2020/02/26 15:05:52 step 192: train=0.046187 test=0.048304 entropy=4.036699 used=64
2020/02/26 15:06:10 step 193: train=0.047422 test=0.052801 entropy=4.017672 used=64
2020/02/26 15:06:27 step 194: train=0.046373 test=0.043950 entropy=4.035811 used=64
2020/02/26 15:06:44 step 195: train=0.045133 test=0.045759 entropy=4.032423 used=64
2020/02/26 15:07:02 step 196: train=0.046413 test=0.046001 entropy=4.037665 used=64
2020/02/26 15:07:19 step 197: train=0.050055 test=0.054566 entropy=4.031667 used=64
2020/02/26 15:07:36 step 198: train=0.044413 test=0.047470 entropy=4.038517 used=64
2020/02/26 15:07:54 step 199: train=0.039742 test=0.048643 entropy=4.051128 used=64
2020/02/26 15:08:11 step 200: train=0.051324 test=0.048038 entropy=4.043452 used=64
2020/02/26 15:08:35 step 201: train=0.050454 test=0.046591 entropy=4.051299 used=64
2020/02/26 15:08:53 step 202: train=0.042736 test=0.046923 entropy=4.014238 used=64
2020/02/26 15:09:10 step 203: train=0.051166 test=0.047897 entropy=4.044137 used=64
2020/02/26 15:09:27 step 204: train=0.050668 test=0.047212 entropy=4.022342 used=64
2020/02/26 15:09:45 step 205: train=0.047951 test=0.045835 entropy=4.045095 used=64
2020/02/26 15:10:02 step 206: train=0.051511 test=0.045601 entropy=4.049838 used=64
2020/02/26 15:10:19 step 207: train=0.044641 test=0.040157 entropy=4.036197 used=64
2020/02/26 15:10:37 step 208: train=0.047438 test=0.051850 entropy=4.033912 used=64
2020/02/26 15:10:54 step 209: train=0.049803 test=0.039524 entropy=4.028014 used=64
2020/02/26 15:11:11 step 210: train=0.049515 test=0.046764 entropy=4.047415 used=64
2020/02/26 15:11:36 step 211: train=0.046710 test=0.044617 entropy=4.031001 used=64
2020/02/26 15:11:53 step 212: train=0.044143 test=0.041645 entropy=4.031422 used=64
2020/02/26 15:12:10 step 213: train=0.047944 test=0.044200 entropy=4.047233 used=64
2020/02/26 15:12:28 step 214: train=0.043142 test=0.045904 entropy=4.034499 used=64
2020/02/26 15:12:45 step 215: train=0.043606 test=0.045255 entropy=4.020700 used=64
2020/02/26 15:13:03 step 216: train=0.050052 test=0.043379 entropy=4.029602 used=64
2020/02/26 15:13:20 step 217: train=0.044312 test=0.045294 entropy=4.031959 used=64
2020/02/26 15:13:37 step 218: train=0.047662 test=0.042771 entropy=4.037438 used=64
2020/02/26 15:13:54 step 219: train=0.048507 test=0.046577 entropy=4.048418 used=64
2020/02/26 15:14:12 step 220: train=0.042759 test=0.044577 entropy=4.032166 used=64
2020/02/26 15:14:36 step 221: train=0.049176 test=0.050323 entropy=4.037072 used=64
2020/02/26 15:14:53 step 222: train=0.049769 test=0.047165 entropy=4.047913 used=64
2020/02/26 15:15:11 step 223: train=0.056031 test=0.053151 entropy=4.033897 used=64
2020/02/26 15:15:28 step 224: train=0.048156 test=0.050471 entropy=4.056986 used=64
2020/02/26 15:15:46 step 225: train=0.045938 test=0.044735 entropy=4.054952 used=64
2020/02/26 15:16:03 step 226: train=0.055658 test=0.045141 entropy=4.045326 used=64
2020/02/26 15:16:20 step 227: train=0.052825 test=0.048798 entropy=4.043456 used=64
2020/02/26 15:16:38 step 228: train=0.047530 test=0.048547 entropy=4.064299 used=64
2020/02/26 15:16:55 step 229: train=0.044545 test=0.046517 entropy=4.042643 used=64
2020/02/26 15:17:12 step 230: train=0.050413 test=0.044428 entropy=4.052578 used=64
2020/02/26 15:17:36 step 231: train=0.044506 test=0.044679 entropy=4.048060 used=64
2020/02/26 15:17:54 step 232: train=0.045470 test=0.043832 entropy=4.047823 used=64
2020/02/26 15:18:11 step 233: train=0.044516 test=0.043568 entropy=4.045900 used=64
2020/02/26 15:18:28 step 234: train=0.049578 test=0.042904 entropy=4.048698 used=64
2020/02/26 15:18:46 step 235: train=0.049211 test=0.041476 entropy=4.048716 used=64
2020/02/26 15:19:03 step 236: train=0.046908 test=0.047820 entropy=4.062655 used=64
2020/02/26 15:19:21 step 237: train=0.044438 test=0.048758 entropy=4.034247 used=64
2020/02/26 15:19:38 step 238: train=0.038903 test=0.046263 entropy=4.054274 used=64
2020/02/26 15:19:55 step 239: train=0.045043 test=0.046880 entropy=4.050115 used=64
2020/02/26 15:20:13 step 240: train=0.043887 test=0.044103 entropy=4.070607 used=64
2020/02/26 15:20:36 step 241: train=0.040105 test=0.045968 entropy=4.051713 used=64
2020/02/26 15:20:54 step 242: train=0.039005 test=0.052246 entropy=4.059492 used=64
2020/02/26 15:21:11 step 243: train=0.047911 test=0.047376 entropy=4.052882 used=64
2020/02/26 15:21:28 step 244: train=0.052021 test=0.045781 entropy=4.072163 used=64
2020/02/26 15:21:46 step 245: train=0.046501 test=0.038246 entropy=4.075864 used=64
2020/02/26 15:22:03 step 246: train=0.046846 test=0.044980 entropy=4.061198 used=64
2020/02/26 15:22:20 step 247: train=0.043156 test=0.044623 entropy=4.060224 used=64
2020/02/26 15:22:38 step 248: train=0.050458 test=0.048061 entropy=4.073344 used=64
2020/02/26 15:22:55 step 249: train=0.038478 test=0.050489 entropy=4.056095 used=64
2020/02/26 15:23:12 step 250: train=0.041297 test=0.049980 entropy=4.055079 used=64
2020/02/26 15:23:39 step 251: train=0.048787 test=0.053425 entropy=4.075811 used=64
2020/02/26 15:23:56 step 252: train=0.044483 test=0.043730 entropy=4.055058 used=64
2020/02/26 15:24:13 step 253: train=0.050505 test=0.045309 entropy=4.048957 used=64
2020/02/26 15:24:31 step 254: train=0.040798 test=0.049291 entropy=4.067878 used=64
2020/02/26 15:24:48 step 255: train=0.052282 test=0.048011 entropy=4.055635 used=64
2020/02/26 15:25:05 step 256: train=0.045165 test=0.051294 entropy=4.055021 used=64
2020/02/26 15:25:23 step 257: train=0.044508 test=0.051585 entropy=4.058125 used=64
2020/02/26 15:25:40 step 258: train=0.042450 test=0.042215 entropy=4.052869 used=64
2020/02/26 15:25:57 step 259: train=0.043522 test=0.048074 entropy=4.054896 used=64
2020/02/26 15:26:15 step 260: train=0.048745 test=0.044360 entropy=4.054860 used=64
2020/02/26 15:26:41 step 261: train=0.041322 test=0.048581 entropy=4.062727 used=64
2020/02/26 15:26:58 step 262: train=0.045740 test=0.054182 entropy=4.065857 used=64
2020/02/26 15:27:16 step 263: train=0.050230 test=0.036774 entropy=4.060268 used=64
2020/02/26 15:27:33 step 264: train=0.054872 test=0.042671 entropy=4.064449 used=64
2020/02/26 15:27:50 step 265: train=0.037686 test=0.049736 entropy=4.061458 used=64
2020/02/26 15:28:08 step 266: train=0.051136 test=0.041860 entropy=4.071793 used=64
2020/02/26 15:28:25 step 267: train=0.046888 test=0.049480 entropy=4.065352 used=64
2020/02/26 15:28:42 step 268: train=0.051802 test=0.049239 entropy=4.058970 used=64
2020/02/26 15:29:00 step 269: train=0.045457 test=0.040127 entropy=4.056059 used=64
2020/02/26 15:29:17 step 270: train=0.052473 test=0.047239 entropy=4.066510 used=64
2020/02/26 15:29:41 step 271: train=0.044477 test=0.042416 entropy=4.060115 used=64
2020/02/26 15:29:59 step 272: train=0.044267 test=0.048929 entropy=4.065403 used=64
2020/02/26 15:30:16 step 273: train=0.045776 test=0.050626 entropy=4.068834 used=64
2020/02/26 15:30:34 step 274: train=0.046910 test=0.040020 entropy=4.070264 used=64
2020/02/26 15:30:51 step 275: train=0.047679 test=0.039609 entropy=4.066411 used=64
2020/02/26 15:31:08 step 276: train=0.045735 test=0.048871 entropy=4.045854 used=64
2020/02/26 15:31:26 step 277: train=0.045505 test=0.044857 entropy=4.062317 used=64
2020/02/26 15:31:43 step 278: train=0.040076 test=0.048143 entropy=4.061442 used=64
2020/02/26 15:32:00 step 279: train=0.045208 test=0.041612 entropy=4.059103 used=64
2020/02/26 15:32:18 step 280: train=0.050135 test=0.043212 entropy=4.053295 used=64
2020/02/26 15:32:42 step 281: train=0.046725 test=0.042320 entropy=4.063643 used=64
2020/02/26 15:32:59 step 282: train=0.048472 test=0.044005 entropy=4.068118 used=64
2020/02/26 15:33:17 step 283: train=0.048390 test=0.045658 entropy=4.065776 used=64
2020/02/26 15:33:34 step 284: train=0.048813 test=0.047952 entropy=4.069259 used=64
2020/02/26 15:33:52 step 285: train=0.046464 test=0.041473 entropy=4.056250 used=64
2020/02/26 15:34:09 step 286: train=0.040285 test=0.048225 entropy=4.043896 used=64
2020/02/26 15:34:26 step 287: train=0.043613 test=0.048968 entropy=4.067015 used=64
2020/02/26 15:34:44 step 288: train=0.041961 test=0.039489 entropy=4.051409 used=64
2020/02/26 15:35:01 step 289: train=0.044927 test=0.043927 entropy=4.073517 used=64
2020/02/26 15:35:18 step 290: train=0.038254 test=0.043464 entropy=4.067380 used=64
2020/02/26 15:35:43 step 291: train=0.043946 test=0.044305 entropy=4.068421 used=64
2020/02/26 15:36:00 step 292: train=0.046787 test=0.040771 entropy=4.075952 used=64
2020/02/26 15:36:17 step 293: train=0.043707 test=0.044200 entropy=4.073387 used=64
2020/02/26 15:36:35 step 294: train=0.040595 test=0.042839 entropy=4.066287 used=64
2020/02/26 15:36:52 step 295: train=0.046690 test=0.044611 entropy=4.071094 used=64
2020/02/26 15:37:09 step 296: train=0.044224 test=0.042492 entropy=4.073752 used=64
2020/02/26 15:37:27 step 297: train=0.046501 test=0.037019 entropy=4.074419 used=64
2020/02/26 15:37:44 step 298: train=0.044522 test=0.045925 entropy=4.078473 used=64
2020/02/26 15:38:01 step 299: train=0.062252 test=0.039197 entropy=4.092026 used=64
2020/02/26 15:38:19 step 300: train=0.042295 test=0.042319 entropy=4.068917 used=64
2020/02/26 15:38:45 step 301: train=0.043776 test=0.048273 entropy=4.070994 used=64
2020/02/26 15:39:02 step 302: train=0.038821 test=0.045433 entropy=4.067598 used=64
2020/02/26 15:39:20 step 303: train=0.043786 test=0.047110 entropy=4.054696 used=64
2020/02/26 15:39:37 step 304: train=0.040952 test=0.046339 entropy=4.049077 used=64
2020/02/26 15:39:54 step 305: train=0.046851 test=0.045271 entropy=4.067881 used=64
2020/02/26 15:40:12 step 306: train=0.041673 test=0.036740 entropy=4.061690 used=64
2020/02/26 15:40:29 step 307: train=0.044708 test=0.044948 entropy=4.069267 used=64
2020/02/26 15:40:46 step 308: train=0.047070 test=0.044947 entropy=4.055369 used=64
2020/02/26 15:41:04 step 309: train=0.043456 test=0.044348 entropy=4.061425 used=64
2020/02/26 15:41:21 step 310: train=0.042043 test=0.040394 entropy=4.060679 used=64
2020/02/26 15:41:45 step 311: train=0.040113 test=0.046161 entropy=4.056262 used=64
2020/02/26 15:42:02 step 312: train=0.047873 test=0.044131 entropy=4.048877 used=64
2020/02/26 15:42:19 step 313: train=0.042481 test=0.043233 entropy=4.054802 used=64
2020/02/26 15:42:36 step 314: train=0.043720 test=0.042404 entropy=4.054620 used=64
2020/02/26 15:42:54 step 315: train=0.038326 test=0.041097 entropy=4.056386 used=64
